issue_date,oracle_pnl,naive_pnl,model_p50_pnl,model_band_pnl,actual_spread,pct_oracle_naive,pct_oracle_p50,pct_oracle_band
2026-03-01,5182.882506269962,4447.17750729993,3791.952503777109,3304.430015275255,114.08999752998353,0.858050998053686,0.7316300339029135,0.6375660670057135
2026-03-02,5114.484977245331,4148.642472743988,4840.957488536835,4889.7874846458435,277.46998500823975,0.8111554714114055,0.9465190552078191,0.9560664478243301
2026-03-03,5689.599953651428,5459.237469673157,5378.5099420547485,5027.357413291931,224.83999443054202,0.9595116553264116,0.9453230430731724,0.8836047269132713
2026-03-04,9590.094906806946,9422.87489414215,9173.009877204895,8789.15989780426,404.2399845123291,0.9825632577894402,0.9565087693442942,0.916483098782037
2026-03-05,7349.472420096397,7141.444912314415,7004.179931998253,6992.457416892052,244.97000122070312,0.9716949059890133,0.9530180578467133,0.951423043342795
2026-03-06,5827.769987106323,5672.162485122681,5490.575012207031,5436.395008087158,203.2000045776367,0.9732989630119382,0.9421399650903655,0.9328430978084131
2026-03-07,6494.599924229085,6303.519941471517,6064.174936436117,5918.937429569662,196.8999938964844,0.970578636869576,0.9337257116966969,0.9113629012755924
2026-03-08,6534.274988697842,6428.312464283779,5967.7448983658105,5897.612385319546,182.25000549294057,0.9837835835502267,0.9132987070008619,0.9025656856377312
2026-03-09,6176.700021743774,5154.594972610474,5738.292520523071,5653.752511978149,195.6999855041504,0.8345224722691413,0.9290223744592774,0.9153354529239403
2026-03-10,4404.899997711182,4068.7874870300293,4176.737529754639,3990.5175819396973,160.2499923706055,0.9236957681546009,0.9482025771129656,0.9059269413637538
2026-03-11,5876.4374990426,4242.312451358885,4734.869978900999,4948.079983707517,169.17000427097082,0.7219190967401677,0.8057381669884879,0.842020354085901
2026-03-12,6511.332500510849,3901.940025959164,6013.390003734268,6174.342516952194,167.3300018310547,0.5992536897252653,0.9235267901404951,0.9482456189217466
2026-03-13,8214.759868168272,2722.9699624273926,8054.964875105768,8013.002371672541,194.92000007629395,0.33147286179097535,0.9805478193365457,0.9754396355178281
2026-03-14,1952.1349868774414,1680.192481994629,1716.3249473571777,1657.5349311828613,84.13999938964841,0.8606948255572218,0.8792040298926991,0.849088276335946
2026-03-15,4305.617600440979,1218.632586479187,3761.0000562667847,3524.2500505447388,129.34000396728516,0.2830331672637104,0.8735100060631453,0.8185237003359952
2026-03-16,7283.074957847595,2094.774980545044,6690.349989414215,6616.429983139038,174.48999309539795,0.2876223288472269,0.9186161103841569,0.9084665503833323
2026-03-17,3393.215019226074,2567.290027618408,3055.4024906158447,3053.2424869537354,121.16000366210942,0.7565951503432744,0.9004447031219148,0.8998081376081261
2026-03-18,8159.057405106723,6867.639898054302,7719.534881226718,7633.877381913364,195.90999627113345,0.8417197670108157,0.946130722942958,0.9356322676606429
2026-03-19,8143.687557471916,8004.995079291984,7753.437574638054,7643.840070975944,240.92000366188583,0.9829693271996075,0.9520794504848354,0.9386214803836185
2026-03-20,5765.299978256226,5698.159986495972,5543.107511520386,5460.600034713745,181.6199951171875,0.9883544668944423,0.9614603806265352,0.9471493339996785
2026-03-21,5143.855053901672,4998.517548561096,4891.2474908828735,4975.262516975403,169.7100067138672,0.9717454119881671,0.9508913916951853,0.9672244775251997
2026-03-22,9108.897512164898,7642.240014013834,8965.139979296364,8832.232514315285,198.7700071334839,0.8389862772972966,0.9842178998417156,0.9696269501901709
2026-03-23,7382.800100326538,6729.445051193237,6832.2550983428955,7018.382608413696,274.11001205444336,0.9115030828066978,0.9254286998832202,0.9506396642248618
2026-03-24,6906.914952359162,5795.977518447675,6161.192485413514,6188.189967713319,149.03999999910593,0.8391557675786887,0.892032481637705,0.8959412430001976
2026-03-25,6849.437482816167,2968.90498597594,6792.744968400337,6839.404973207973,175.40999633818865,0.4334523810786379,0.9917230408251685,0.9985352797754029
2026-03-26,7122.002389386296,5604.189910247922,6727.7324308902025,6559.922410443425,182.0500024408102,0.7868840255655735,0.944640574807492,0.9210783782127732
2026-03-27,4553.0975131988525,4234.60998916626,4468.427534103394,4296.019996643066,147.20000457763675,0.930050361735206,0.9814038731105558,0.9435378847453737
2026-03-28,6465.765003204346,5155.449981689453,5998.7074909210205,5821.307495594025,156.86999320983887,0.7973457091518918,0.9277645395321578,0.9003277249805806
2026-03-29,6069.550008578226,3057.092470092699,5485.645001200959,5553.4924956243485,128.6899971961975,0.5036769555851824,0.9037976445449792,0.9149759846735718
2026-03-30,6069.550008578226,3057.092470092699,5485.645001200959,5553.4924956243485,128.6899971961975,0.5036769555851824,0.9037976445449792,0.9149759846735718
2026-03-31,5023.669994354248,3507.8574714660645,4827.050001144409,4792.709978103638,163.32999420166018,0.6982659042907478,0.9608612839954045,0.9540256393214184
2026-04-01,4527.912380218506,3980.1349487304688,4299.752407073975,4069.2399139404297,158.7199935913086,0.8790220778385286,0.9496103382783391,0.8987011170353209
2026-04-02,4750.150014877319,4198.342529296875,4576.877510070801,4548.527513504028,162.2199935913086,0.8838336718099006,0.9635227299635096,0.9575544981228349
