variant,label,flags,enc_features,dec_features,epochs_run,train_time_s,val_residual_mae_mw,val_implied_skill,holdout_n_days,holdout_residual_mae_mw,holdout_tso_mae_mw,holdout_skill
A_calendar,calendar only,"{'include_load_history': False, 'include_residual': False, 'include_tso_fc_dec': False, 'include_weather': False}",4,5,26,175.05762243270874,488.2514953613281,0.052022993635487014,70,469.1428029037657,492.3648247492145,0.047164258448553764
B_load,+ load history,"{'include_load_history': True, 'include_residual': False, 'include_tso_fc_dec': False, 'include_weather': False}",5,5,13,80.68901753425598,449.95086669921875,0.1263865453008346,70,444.36384696375046,492.3648247492145,0.09749067230770048
C_residual,+ residual lag,"{'include_load_history': True, 'include_residual': True, 'include_tso_fc_dec': False, 'include_weather': False}",6,5,31,190.72176885604858,380.3734130859375,0.2614764053697164,70,375.75601106612453,492.3648247492145,0.23683416812418423
D_tso_fc,+ TSO_fc decoder,"{'include_load_history': True, 'include_residual': True, 'include_tso_fc_dec': True, 'include_weather': False}",6,6,48,278.29963636398315,383.10235595703125,0.2561779575041041,70,379.7778311366127,492.3648247492145,0.22866579404803722
E_weather,+ weather,"{'include_load_history': True, 'include_residual': True, 'include_tso_fc_dec': True, 'include_weather': True}",10,10,26,153.37801909446716,358.43206787109375,0.3040771776151451,70,373.1093172581423,492.3648247492145,0.2422096410965484
